spkt,spkid
7.050000000100033,97.0
7.9500000001000455,80.0
8.400000000100052,87.0
8.850000000100058,89.0
9.800000000100072,86.0
9.950000000100074,99.0
10.050000000100075,84.0
10.150000000100077,82.0
10.40000000010008,90.0
12.150000000100105,70.0
12.400000000100109,4.0
12.850000000100115,75.0
14.150000000100134,69.0
14.350000000100136,49.0
14.65000000010014,76.0
14.900000000100144,85.0
15.30000000010015,92.0
15.600000000100154,83.0
15.700000000100156,81.0
15.750000000100156,95.0
16.050000000100155,65.0
16.85000000010011,41.0
17.0500000001001,19.0
17.500000000100073,88.0
17.55000000010007,73.0
17.70000000010006,23.0
18.05000000010004,89.0
18.300000000100027,91.0
18.750000000100002,52.0
18.8000000001,80.0
19.50000000009996,74.0
20.250000000099917,46.0
20.5500000000999,87.0
20.70000000009989,40.0
20.800000000099885,56.0
21.150000000099865,78.0
21.350000000099854,82.0
22.400000000099794,86.0
22.45000000009979,99.0
22.600000000099783,11.0
23.800000000099715,63.0
24.100000000099698,84.0
25.000000000099647,98.0
26.600000000099556,77.0
27.05000000009953,93.0
27.40000000009951,38.0
27.40000000009951,43.0
29.00000000009942,17.0
30.700000000099323,89.0
30.800000000099317,82.0
30.800000000099317,95.0
30.90000000009931,81.0
30.90000000009931,83.0
31.000000000099305,58.0
31.200000000099294,86.0
31.500000000099277,67.0
31.60000000009927,97.0
32.15000000009925,80.0
32.45000000009923,15.0
32.50000000009923,59.0
32.75000000009921,87.0
32.9500000000992,79.0
33.050000000099196,20.0
34.15000000009913,36.0
34.20000000009913,57.0
34.25000000009913,50.0
34.35000000009912,94.0
35.350000000099065,85.0
35.350000000099065,88.0
35.550000000099054,65.0
35.85000000009904,84.0
37.15000000009896,33.0
37.800000000098926,75.0
37.95000000009892,76.0
38.2000000000989,26.0
38.500000000098886,10.0
38.80000000009887,2.0
39.050000000098855,45.0
39.90000000009881,90.0
40.0000000000988,89.0
41.25000000009873,86.0
41.65000000009871,11.0
41.65000000009871,82.0
41.700000000098704,91.0
41.7500000000987,81.0
41.90000000009869,80.0
42.00000000009869,93.0
42.60000000009865,18.0
42.750000000098645,54.0
42.85000000009864,97.0
43.600000000098596,0.0
44.850000000098525,44.0
44.90000000009852,9.0
45.2500000000985,78.0
45.50000000009849,64.0
45.550000000098485,94.0
45.65000000009848,19.0
46.30000000009844,85.0
47.500000000098375,88.0
47.90000000009835,87.0
48.30000000009833,89.0
48.45000000009832,84.0
48.900000000098295,83.0
49.100000000098284,81.0
49.450000000098264,66.0
49.75000000009825,21.0
50.650000000098196,69.0
51.45000000009815,96.0
51.50000000009815,73.0
52.3500000000981,17.0
52.950000000098065,98.0
53.05000000009806,30.0
53.35000000009804,71.0
54.550000000097974,82.0
56.50000000009786,38.0
56.70000000009785,80.0
56.85000000009784,87.0
57.05000000009783,97.0
57.850000000097786,40.0
58.050000000097775,67.0
58.70000000009774,88.0
59.60000000009769,84.0
60.05000000009766,90.0
60.45000000009764,6.0
61.85000000009756,52.0
64.85000000009762,83.0
65.30000000009773,50.0
65.30000000009773,86.0
65.70000000009782,82.0
65.75000000009783,25.0
65.95000000009787,85.0
66.30000000009795,77.0
66.60000000009802,94.0
66.80000000009807,23.0
67.75000000009828,97.0
68.00000000009834,74.0
69.45000000009867,80.0
69.45000000009867,89.0
69.55000000009869,88.0
69.80000000009875,81.0
69.85000000009876,87.0
70.30000000009886,0.0
71.3500000000991,41.0
73.75000000009965,78.0
74.4000000000998,30.0
76.50000000010027,84.0
76.70000000010032,26.0
77.25000000010044,95.0
78.90000000010082,69.0
79.2500000001009,83.0
79.95000000010106,98.0
81.0500000001013,18.0
81.20000000010134,93.0
81.60000000010143,90.0
83.70000000010191,58.0
83.85000000010194,88.0
84.100000000102,65.0
84.15000000010201,67.0
85.4000000001023,57.0
86.15000000010247,76.0
86.45000000010253,27.0
87.1500000001027,72.0
87.40000000010275,63.0
87.40000000010275,86.0
87.40000000010275,87.0
87.6000000001028,44.0
87.70000000010282,84.0
88.0500000001029,83.0
88.10000000010291,73.0
88.15000000010292,9.0
88.30000000010295,89.0
88.40000000010298,56.0
88.55000000010301,19.0
88.9500000001031,29.0
89.05000000010313,20.0
89.05000000010313,81.0
89.10000000010314,6.0
89.30000000010318,80.0
89.55000000010324,85.0
90.20000000010339,82.0
90.2500000001034,78.0
90.30000000010341,62.0
90.45000000010344,21.0
90.55000000010347,4.0
90.65000000010349,95.0
90.85000000010353,35.0
90.90000000010355,42.0
91.35000000010365,5.0
92.05000000010381,7.0
92.20000000010384,94.0
93.60000000010416,88.0
94.05000000010426,97.0
94.2000000001043,91.0
95.45000000010458,34.0
95.65000000010463,38.0
96.4000000001048,3.0
97.10000000010496,2.0
97.35000000010501,23.0
99.35000000010547,99.0
99.85000000010558,86.0
100.25000000010567,85.0
100.4000000001057,75.0
100.55000000010574,43.0
100.85000000010581,80.0
101.00000000010584,81.0
101.2500000001059,87.0
102.95000000010629,50.0
103.05000000010631,11.0
103.80000000010648,46.0
103.85000000010649,90.0
105.15000000010679,65.0
105.60000000010689,89.0
105.95000000010697,24.0
106.15000000010701,52.0
106.85000000010717,88.0
107.10000000010723,41.0
107.35000000010729,17.0
107.95000000010742,97.0
108.15000000010747,10.0
108.65000000010758,83.0
109.1500000001077,84.0
110.00000000010789,18.0
110.0500000001079,9.0
110.30000000010796,85.0
110.35000000010797,74.0
110.40000000010798,99.0
110.55000000010801,82.0
111.20000000010816,59.0
111.30000000010818,81.0
111.75000000010829,87.0
112.00000000010834,86.0
112.45000000010845,31.0
113.35000000010865,80.0
113.5500000001087,78.0
113.95000000010879,96.0
114.80000000010898,95.0
116.80000000010943,58.0
116.85000000010945,93.0
119.7000000001101,88.0
122.25000000011067,90.0
123.00000000011084,84.0
123.60000000011098,3.0
123.65000000011099,91.0
124.1500000001111,92.0
124.75000000011124,86.0
125.35000000011138,82.0
125.4500000001114,96.0
125.75000000011147,87.0
126.10000000011155,97.0
126.60000000011166,80.0
127.15000000011179,0.0
127.35000000011183,94.0
127.75000000011192,93.0
128.50000000011207,45.0
130.20000000011245,27.0
130.4500000001125,77.0
130.8000000001126,18.0
131.05000000011265,89.0
131.40000000011273,23.0
131.65000000011278,85.0
131.85000000011283,11.0
132.40000000011295,81.0
133.1000000001131,88.0
133.30000000011316,7.0
134.4000000001134,83.0
134.4000000001134,90.0
134.45000000011342,98.0
134.8000000001135,30.0
135.10000000011357,31.0
135.40000000011364,49.0
