spkt,spkid
4.000000000099989,62.0
4.350000000099994,60.0
4.650000000099999,78.0
5.150000000100006,79.0
5.500000000100011,55.0
5.550000000100011,52.0
5.7000000001000135,70.0
5.850000000100016,77.0
5.900000000100016,39.0
6.15000000010002,7.0
6.15000000010002,31.0
6.15000000010002,64.0
6.4000000001000235,1.0
6.600000000100026,24.0
7.2500000001000355,34.0
7.2500000001000355,69.0
7.500000000100039,80.0
7.800000000100043,72.0
8.000000000100046,51.0
8.050000000100047,75.0
8.500000000100053,49.0
8.500000000100053,73.0
8.600000000100055,65.0
8.850000000100058,76.0
9.150000000100063,74.0
9.500000000100068,68.0
17.250000000100087,61.0
18.40000000010002,11.0
20.35000000009991,62.0
20.600000000099897,66.0
21.550000000099843,73.0
22.10000000009981,35.0
25.900000000099595,74.0
28.80000000009943,63.0
30.40000000009934,60.0
30.40000000009934,72.0
31.850000000099257,65.0
32.05000000009925,62.0
32.10000000009925,34.0
33.15000000009919,36.0
35.40000000009906,7.0
36.10000000009902,68.0
38.850000000098866,70.0
40.0500000000988,74.0
40.85000000009875,47.0
41.55000000009871,62.0
42.15000000009868,61.0
44.05000000009857,66.0
44.60000000009854,72.0
45.00000000009852,49.0
46.15000000009845,77.0
51.30000000009816,67.0
51.60000000009814,32.0
51.700000000098136,64.0
54.40000000009798,69.0
56.05000000009789,60.0
56.100000000097886,1.0
56.20000000009788,63.0
56.60000000009786,62.0
57.700000000097795,50.0
58.85000000009773,70.0
59.4000000000977,65.0
59.85000000009767,76.0
61.25000000009759,66.0
62.05000000009755,72.0
64.7500000000976,68.0
65.55000000009778,25.0
66.70000000009804,61.0
68.00000000009834,60.0
70.35000000009887,38.0
72.45000000009935,32.0
72.70000000009941,74.0
73.65000000009962,64.0
74.10000000009973,49.0
75.45000000010003,11.0
76.55000000010028,65.0
77.5000000001005,66.0
78.25000000010067,69.0
78.75000000010078,36.0
78.8000000001008,62.0
79.40000000010093,60.0
79.50000000010095,73.0
79.90000000010104,68.0
80.6000000001012,79.0
80.85000000010126,63.0
85.15000000010224,61.0
86.80000000010261,70.0
87.45000000010276,74.0
89.25000000010317,78.0
90.20000000010339,69.0
91.05000000010358,45.0
95.5500000001046,11.0
95.80000000010466,80.0
96.25000000010476,32.0
96.65000000010485,60.0
97.85000000010513,13.0
99.10000000010541,43.0
99.70000000010555,73.0
100.20000000010566,39.0
100.30000000010568,52.0
103.55000000010642,64.0
104.25000000010658,62.0
104.25000000010658,69.0
104.45000000010663,67.0
105.00000000010675,17.0
106.00000000010698,54.0
106.90000000010718,60.0
108.25000000010749,61.0
108.35000000010751,63.0
109.65000000010781,74.0
109.70000000010782,7.0
111.60000000010825,72.0
112.20000000010839,65.0
113.80000000010875,73.0
114.40000000010889,79.0
115.15000000010906,62.0
115.45000000010913,68.0
115.70000000010918,66.0
119.35000000011001,48.0
121.45000000011049,70.0
122.40000000011071,74.0
124.40000000011116,63.0
126.65000000011167,80.0
130.20000000011245,66.0
130.8500000001126,43.0
131.05000000011265,55.0
131.55000000011276,38.0
131.7500000001128,77.0
131.90000000011284,34.0
131.90000000011284,39.0
132.25000000011292,60.0
132.45000000011296,17.0
134.60000000011345,13.0
134.70000000011348,69.0
135.35000000011362,5.0
136.45000000011387,65.0
141.70000000011507,29.0
141.8000000001151,11.0
142.20000000011518,53.0
142.2500000001152,70.0
142.60000000011527,64.0
143.5500000001155,1.0
143.80000000011555,73.0
144.0500000001156,78.0
148.70000000011666,80.0
149.50000000011684,77.0
151.40000000011727,74.0
152.0000000001174,70.0
152.25000000011747,72.0
152.65000000011756,39.0
153.2500000001177,79.0
154.1000000001179,31.0
156.4000000001184,68.0
160.85000000011942,62.0
161.6000000001196,34.0
163.20000000011996,64.0
163.55000000012004,73.0
164.40000000012023,60.0
165.6000000001205,51.0
166.55000000012072,71.0
167.3500000001209,68.0
168.80000000012123,66.0
169.35000000012136,79.0
171.45000000012183,70.0
172.90000000012216,75.0
173.4500000001223,43.0
173.65000000012233,62.0
173.9500000001224,74.0
178.4000000001234,78.0
178.90000000012353,63.0
179.55000000012367,61.0
179.60000000012369,60.0
179.6500000001237,64.0
179.90000000012375,24.0
180.40000000012387,65.0
180.90000000012398,72.0
183.35000000012454,68.0
183.40000000012455,35.0
183.6000000001246,80.0
183.75000000012463,77.0
184.0500000001247,66.0
184.4500000001248,79.0
186.15000000012517,69.0
189.20000000012587,75.0
189.85000000012602,60.0
192.70000000012666,78.0
194.05000000012697,73.0
194.30000000012703,68.0
194.30000000012703,74.0
198.20000000012791,47.0
199.0500000001281,66.0
200.45000000012843,60.0
203.50000000012912,20.0
203.95000000012922,7.0
204.15000000012927,34.0
204.40000000012932,70.0
206.0500000001297,69.0
206.1000000001297,74.0
207.35000000013,73.0
208.60000000013028,35.0
208.6500000001303,52.0
209.00000000013037,62.0
209.5500000001305,72.0
209.70000000013053,65.0
209.80000000013055,64.0
209.80000000013055,75.0
211.50000000013094,78.0
212.1500000001311,39.0
213.45000000013138,63.0
214.70000000013167,66.0
217.85000000013238,1.0
217.9000000001324,32.0
218.15000000013245,31.0
218.15000000013245,79.0
223.05000000013356,65.0
223.45000000013366,34.0
223.55000000013368,62.0
223.7000000001337,70.0
223.7000000001337,80.0
224.30000000013385,74.0
224.5500000001339,58.0
227.25000000013452,11.0
227.30000000013453,60.0
227.85000000013466,36.0
229.45000000013502,77.0
230.00000000013515,39.0
231.25000000013543,66.0
231.45000000013547,7.0
232.25000000013566,73.0
233.05000000013584,24.0
233.55000000013595,72.0
233.65000000013598,62.0
234.90000000013626,61.0
235.85000000013648,76.0
236.8000000001367,79.0
242.600000000138,80.0
243.15000000013814,78.0
243.4500000001382,53.0
244.45000000013843,32.0
246.60000000013892,71.0
246.75000000013895,52.0
247.3500000001391,11.0
247.8500000001392,68.0
248.2500000001393,4.0
249.1000000001395,62.0
249.50000000013958,5.0
250.20000000013974,74.0
250.35000000013977,67.0
250.9500000001399,17.0
253.45000000014048,66.0
254.20000000014065,60.0
254.25000000014066,79.0
254.4500000001407,39.0
256.5500000001405,77.0
256.85000000014026,68.0
257.15000000014,24.0
258.50000000013875,69.0
259.15000000013816,70.0
259.6500000001377,38.0
260.0000000001374,64.0
260.60000000013684,78.0
262.7500000001349,74.0
264.75000000013307,72.0
268.15000000013,32.0
269.6500000001286,60.0
270.7500000001276,68.0
271.60000000012684,73.0
273.1000000001255,63.0
273.45000000012516,70.0
273.90000000012475,7.0
275.1500000001236,74.0
277.10000000012184,61.0
277.9000000001211,24.0
278.10000000012093,78.0
279.05000000012006,76.0
279.7500000001194,68.0
280.5500000001187,66.0
280.6500000001186,35.0
282.5500000001169,60.0
283.3000000001162,77.0
286.30000000011347,43.0
287.40000000011247,69.0
288.40000000011156,62.0
288.5500000001114,72.0
289.4500000001106,4.0
290.7500000001094,34.0
290.85000000010933,78.0
291.1000000001091,73.0
292.4000000001079,65.0
293.3000000001071,74.0
295.55000000010506,17.0
295.55000000010506,66.0
295.80000000010483,39.0
296.6000000001041,31.0
296.8500000001039,70.0
297.2500000001035,77.0
297.75000000010306,7.0
298.3500000001025,68.0
301.1000000001,64.0
301.60000000009956,61.0
303.80000000009755,76.0
306.8000000000948,65.0
310.30000000009164,74.0
310.30000000009164,79.0
310.95000000009105,35.0
312.9000000000893,3.0
315.15000000008723,70.0
316.0500000000864,68.0
316.90000000008564,11.0
318.700000000084,62.0
319.30000000008346,69.0
320.0000000000828,47.0
320.65000000008223,74.0
322.1000000000809,61.0
322.3500000000807,64.0
322.4500000000806,29.0
322.50000000008055,75.0
322.5500000000805,73.0
323.50000000007964,24.0
324.5500000000787,39.0
325.4000000000779,66.0
325.45000000007786,35.0
330.7000000000731,65.0
330.800000000073,60.0
331.30000000007254,77.0
333.2000000000708,62.0
334.50000000006963,43.0
336.00000000006827,1.0
336.15000000006813,68.0
336.6000000000677,11.0
338.00000000006645,32.0
338.35000000006613,34.0
340.20000000006445,70.0
341.20000000006354,7.0
341.50000000006327,51.0
341.800000000063,60.0
342.0000000000628,75.0
342.20000000006263,23.0
342.50000000006236,64.0
342.75000000006213,3.0
342.85000000006204,48.0
343.15000000006177,72.0
343.60000000006136,66.0
344.25000000006077,50.0
344.3500000000607,39.0
344.70000000006036,25.0
347.5000000000578,79.0
351.75000000005394,43.0
353.2500000000526,13.0
353.8000000000521,31.0
354.8500000000511,69.0
355.05000000005094,73.0
355.80000000005026,77.0
355.8500000000502,70.0
356.70000000004944,74.0
357.00000000004917,72.0
360.00000000004644,62.0
360.7000000000458,68.0
361.55000000004503,78.0
361.7000000000449,7.0
365.15000000004176,63.0
366.4500000000406,10.0
368.35000000003885,60.0
368.6500000000386,79.0
368.8500000000384,70.0
368.90000000003835,77.0
370.0500000000373,39.0
370.5000000000369,72.0
372.10000000003544,69.0
373.2500000000344,74.0
373.700000000034,35.0
374.0000000000337,68.0
374.40000000003334,78.0
374.800000000033,13.0
374.800000000033,75.0
375.3500000000325,32.0
377.3000000000307,65.0
377.90000000003016,62.0
379.7000000000285,80.0
380.45000000002784,66.0
381.6000000000268,76.0
382.6000000000259,47.0
384.3500000000243,79.0
385.40000000002334,72.0
391.1500000000181,13.0
391.250000000018,63.0
391.300000000018,73.0
393.0500000000164,74.0
393.8000000000157,17.0
394.4500000000151,61.0
395.5500000000141,35.0
397.05000000001274,72.0
398.1000000000118,43.0
398.5000000000114,64.0
400.10000000000997,65.0
400.4000000000097,69.0
400.4000000000097,70.0
400.5000000000096,60.0
401.9500000000083,62.0
403.40000000000697,66.0
403.65000000000674,73.0
405.6500000000049,68.0
412.89999999999833,31.0
415.5999999999959,34.0
416.04999999999546,39.0
416.49999999999505,53.0
418.4499999999933,51.0
418.49999999999324,73.0
418.8499999999929,50.0
419.34999999999246,13.0
419.59999999999224,77.0
419.69999999999214,1.0
419.99999999999187,36.0
420.0499999999918,2.0
420.44999999999146,7.0
420.7499999999912,32.0
420.7499999999912,60.0
420.949999999991,70.0
423.19999999998896,72.0
423.99999999998823,68.0
425.2499999999871,20.0
427.9999999999846,9.0
428.24999999998437,66.0
429.9999999999828,74.0
432.79999999998023,62.0
432.9499999999801,78.0
434.0499999999791,60.0
435.7999999999775,73.0
435.94999999997736,61.0
436.8999999999765,77.0
438.14999999997536,72.0
440.4499999999733,76.0
446.7999999999675,65.0
448.7999999999657,11.0
449.0999999999654,29.0
449.0999999999654,70.0
449.4499999999651,77.0
450.1999999999644,73.0
450.34999999996427,72.0
450.649999999964,41.0
450.89999999996377,52.0
451.69999999996304,20.0
452.0499999999627,75.0
452.7499999999621,68.0
455.44999999995963,66.0
456.74999999995845,39.0
460.1999999999553,74.0
460.3499999999552,60.0
460.69999999995485,62.0
462.5999999999531,23.0
463.9499999999519,72.0
464.4999999999514,73.0
464.74999999995117,49.0
464.99999999995094,63.0
465.3999999999506,69.0
466.4999999999496,7.0
466.6999999999494,61.0
467.4499999999487,66.0
470.5499999999459,74.0
472.24999999994435,64.0
473.4999999999432,78.0
474.34999999994244,75.0
474.79999999994203,79.0
477.4999999999396,71.0
479.59999999993767,36.0
481.5499999999359,69.0
482.9499999999346,74.0
484.34999999993335,70.0
484.699999999933,66.0
485.0499999999327,34.0
485.3999999999324,80.0
486.899999999931,4.0
489.099999999929,63.0
489.2499999999289,68.0
492.1999999999262,31.0
492.449999999926,77.0
492.7499999999257,62.0
495.64999999992307,60.0
495.699999999923,74.0
497.09999999992175,47.0
499.04999999992,61.0
503.24999999991616,32.0
504.9499999999146,72.0
505.0499999999145,78.0
505.44999999991416,35.0
505.6999999999139,11.0
506.2499999999134,66.0
506.89999999991284,10.0
507.2999999999125,70.0
507.54999999991225,77.0
507.6999999999121,43.0
508.64999999991124,24.0
508.74999999991115,48.0
509.74999999991024,74.0
511.14999999990897,73.0
511.94999999990824,3.0
512.299999999908,68.0
512.9499999999074,13.0
513.5999999999068,60.0
517.0999999999036,31.0
517.749999999903,65.0
518.1499999999027,38.0
518.2499999999026,62.0
521.0499999999,25.0
521.7999999998993,32.0
